lon,lat,date,month,sst_c,presence
-19.247447651938657,2.839411372778187,2019-04-15,4.0,29.453125,0
-27.217985689378345,-14.435468062717886,2019-06-15,6.0,26.832825,0
-44.42635798261037,-2.9059827495767294,2019-11-15,11.0,28.044617,0
-27.3033596546967,-14.430471111275807,2019-06-15,6.0,26.807404,0
-35.87813102589426,-27.350273571227795,2019-08-15,8.0,20.223267,0
-33.81746782667268,-6.1834974044353,2019-03-15,3.0,29.217468,0
-28.40970551727199,12.28588318497517,2019-09-15,9.0,28.009369,0
-57.767481894498054,29.521159043069197,2019-11-15,11.0,25.326782,0
-38.1590973129568,1.4888668118835469,2019-09-15,9.0,27.740173,0
-20.587447470699068,-26.82932787019473,2019-08-15,8.0,20.616821,0
-28.867513048089446,-0.433750452446251,2019-01-15,1.0,27.973663,0
-28.13950745397881,-9.590247981831865,2019-12-15,12.0,26.92331,0
-21.173526199937086,-10.424780418513677,2019-02-15,2.0,27.506653,0
-34.171223342936486,-0.24751489925698422,2019-06-15,6.0,27.940186,0
-15.43605675314641,-26.0166404344408,2019-11-15,11.0,21.069458,0
-24.909537841270883,-0.4201608625249804,2019-10-15,10.0,27.018433,0
-34.92322388198173,2.842170326574596,2019-04-15,4.0,27.48233,0
-24.254452694617683,-28.616289088304807,2019-08-15,8.0,19.68869,0
-34.89676744273544,5.32347444267549,2019-12-15,12.0,27.949463,0
-30.309213541369324,-13.922685557220312,2019-01-15,1.0,27.069092,0
-49.39130205082825,14.602818303697752,2019-03-15,3.0,25.634338,0
-21.72664647607951,-13.43519088064501,2019-01-15,1.0,25.58664,0
-36.690954414860315,-4.900529786821572,2019-09-15,9.0,26.662292,0
-46.29913471342813,15.655974079633864,2019-07-15,7.0,26.463074,0
-31.147131001215175,-8.253484387423768,2019-08-15,8.0,26.532288,0
-12.733962964302393,-27.074446328213256,2019-10-15,10.0,20.207733,0
-23.640632716843655,-18.4734052394115,2019-03-15,3.0,28.20224,0
-31.902313584385126,2.4396131685130413,2019-03-15,3.0,27.63266,0
-11.202687377429335,-5.435789347724306,2019-05-15,5.0,28.287933,0
-18.68123408190219,-19.644727022057985,2019-06-15,6.0,25.16397,0
-46.59806941485172,22.799719857080703,2019-08-15,8.0,27.759796,0
-51.81769369102463,13.391812945261357,2019-11-15,11.0,28.224182,0
-49.51073769677721,17.770260164676785,2019-01-15,1.0,25.509125,0
-21.93727613939742,4.698021008022863,2019-09-15,9.0,27.696045,0
-20.76228263742989,-4.069690746583412,2019-06-15,6.0,26.94278,0
-42.749302048903914,12.85594866455051,2019-07-15,7.0,26.312622,0
-17.82161980180239,-27.354285941342024,2019-01-15,1.0,26.153107,0
-59.827642457011265,17.011716536817097,2019-09-15,9.0,29.478119,0
-57.02936732019822,26.839145136883666,2019-11-15,11.0,26.643616,0
-52.42858998568319,21.755254785393085,2019-11-15,11.0,27.529694,0
-21.040577215116514,-20.615646349431085,2019-06-15,6.0,25.40979,0
-50.71341929912403,29.25213807223267,2019-05-15,5.0,23.228943,0
-50.10193368315741,3.15972556467203,2019-10-15,10.0,28.704865,0
-15.155737084143844,-23.589146130064016,2019-03-15,3.0,27.32074,0
-39.22934967875883,1.889003058675165,2019-04-15,4.0,27.360107,0
-35.95056952285457,28.067733452638464,2019-03-15,3.0,21.09726,0
-45.4919129806845,20.449380188127797,2019-03-15,3.0,24.391357,0
-35.95304349809504,-22.466324607053593,2019-05-15,5.0,27.222961,0
-35.895507207604716,-9.992455103359049,2019-01-15,1.0,28.162842,0
-27.252701443068233,-2.1666809851287283,2019-02-15,2.0,28.84729,0
-50.618901564398286,22.62112237598283,2019-06-15,6.0,26.655792,0
-41.63319906925514,-1.532104537402553,2019-04-15,4.0,28.93097,0
-42.43600602367272,3.4691338744854576,2019-08-15,8.0,27.992798,0
-28.161298813251488,12.353079180125356,2019-12-15,12.0,26.110138,0
-24.504774545137835,1.5606623762257037,2019-05-15,5.0,28.432495,0
